date,ticker,market_cap
2015-01-01,AAPL,643000000000
2015-01-01,MSFT,381000000000
2015-01-01,XOM,382000000000
2015-01-01,GOOG,360000000000
2015-01-01,BRK-B,350000000000
2015-01-01,WMT,250000000000
2015-01-01,JNJ,280000000000
2015-01-01,JPM,230000000000
2015-01-01,META,210000000000
2015-01-01,AMZN,150000000000
2015-01-01,NVDA,11000000000
2015-01-01,TSM,120000000000
2015-01-01,ASML,45000000000
2015-01-01,MU,35000000000
2015-01-01,AMD,3000000000
2016-01-01,AAPL,586000000000
2016-01-01,MSFT,443000000000
2016-01-01,XOM,314000000000
2016-01-01,GOOG,520000000000
2016-01-01,BRK-B,340000000000
2016-01-01,WMT,210000000000
2016-01-01,JNJ,280000000000
2016-01-01,JPM,230000000000
2016-01-01,META,290000000000
2016-01-01,AMZN,320000000000
2016-01-01,NVDA,16000000000
2016-01-01,TSM,115000000000
2016-01-01,ASML,39000000000
2016-01-01,MU,15000000000
2016-01-01,AMD,2000000000
